date,AI,NBA,Taylor Swift,Bitcoin,Job Interview,isPartial
2025-06-01 02:32:00,10,100,2,1,0,False
2025-06-01 02:40:00,10,85,2,1,0,False
2025-06-01 02:48:00,10,84,2,1,0,False
2025-06-01 02:56:00,9,79,2,1,0,False
2025-06-01 03:04:00,9,51,2,1,0,False
2025-06-01 03:12:00,10,44,2,1,0,False
2025-06-01 03:20:00,9,38,2,1,0,False
2025-06-01 03:28:00,9,38,2,1,0,False
2025-06-01 03:36:00,9,37,2,1,0,False
2025-06-01 03:44:00,10,31,2,1,0,False
2025-06-01 03:52:00,10,28,2,1,0,False
2025-06-01 04:00:00,10,25,2,1,0,False
2025-06-01 04:08:00,10,24,2,1,0,False
2025-06-01 04:16:00,10,22,2,1,0,False
2025-06-01 04:24:00,11,23,2,1,0,False
2025-06-01 04:32:00,12,21,2,1,0,False
2025-06-01 04:40:00,10,20,2,1,0,False
2025-06-01 04:48:00,10,20,2,1,0,False
2025-06-01 04:56:00,10,18,2,1,0,False
2025-06-01 05:04:00,10,19,2,1,0,False
2025-06-01 05:12:00,11,19,2,1,0,False
2025-06-01 05:20:00,11,17,2,1,0,False
2025-06-01 05:28:00,11,17,2,1,0,False
2025-06-01 05:36:00,11,17,2,1,0,False
2025-06-01 05:44:00,11,17,2,1,0,False
2025-06-01 05:52:00,12,18,2,1,0,False
2025-06-01 06:00:00,11,17,2,1,0,False
2025-06-01 06:08:00,11,16,2,2,0,False
2025-06-01 06:16:00,12,16,2,1,0,False
2025-06-01 06:24:00,11,16,1,1,0,False
2025-06-01 06:32:00,11,17,2,1,0,False
2025-06-01 06:40:00,12,16,2,1,0,False
2025-06-01 06:48:00,13,18,2,1,0,False
2025-06-01 06:56:00,13,15,1,1,0,False
2025-06-01 07:04:00,12,15,2,1,0,False
2025-06-01 07:12:00,11,14,1,1,0,False
2025-06-01 07:20:00,13,16,1,1,0,False
2025-06-01 07:28:00,12,14,1,1,0,False
2025-06-01 07:36:00,12,14,2,1,0,False
2025-06-01 07:44:00,13,15,1,1,0,False
2025-06-01 07:52:00,12,15,1,1,0,False
2025-06-01 08:00:00,12,14,1,1,0,False
2025-06-01 08:08:00,11,13,1,1,0,False
2025-06-01 08:16:00,12,14,1,1,0,False
2025-06-01 08:24:00,13,14,1,2,0,False
2025-06-01 08:32:00,13,14,1,1,0,False
2025-06-01 08:40:00,13,15,1,1,0,False
2025-06-01 08:48:00,13,15,1,1,0,False
2025-06-01 08:56:00,13,14,1,1,0,False
2025-06-01 09:04:00,12,15,1,1,0,False
2025-06-01 09:12:00,11,15,1,2,0,False
2025-06-01 09:20:00,12,17,1,2,0,False
2025-06-01 09:28:00,13,16,1,2,0,False
2025-06-01 09:36:00,12,17,1,2,0,False
2025-06-01 09:44:00,12,17,1,2,0,False
2025-06-01 09:52:00,11,19,1,2,0,False
2025-06-01 10:00:00,10,18,1,2,0,False
2025-06-01 10:08:00,10,19,1,2,0,False
2025-06-01 10:16:00,10,19,2,2,0,False
2025-06-01 10:24:00,11,19,1,2,0,False
2025-06-01 10:32:00,10,19,1,2,0,False
2025-06-01 10:40:00,7,16,1,2,0,False
2025-06-01 10:48:00,7,16,1,2,0,False
2025-06-01 10:56:00,8,15,1,2,0,False
2025-06-01 11:04:00,8,15,1,2,0,False
2025-06-01 11:12:00,7,16,2,1,0,False
2025-06-01 11:20:00,8,17,1,2,0,False
2025-06-01 11:28:00,8,17,2,2,0,False
2025-06-01 11:36:00,7,17,2,2,0,False
2025-06-01 11:44:00,8,18,2,2,0,False
2025-06-01 11:52:00,7,16,2,2,0,False
2025-06-01 12:00:00,7,16,2,2,0,False
2025-06-01 12:08:00,7,16,2,2,0,False
2025-06-01 12:16:00,7,15,2,2,0,False
2025-06-01 12:24:00,8,15,2,1,0,False
2025-06-01 12:32:00,7,15,2,2,0,False
2025-06-01 12:40:00,7,14,2,2,0,False
2025-06-01 12:48:00,7,14,2,1,0,False
2025-06-01 12:56:00,9,13,1,1,0,False
2025-06-01 13:04:00,12,14,1,1,0,False
2025-06-01 13:12:00,14,11,1,1,0,False
2025-06-01 13:20:00,9,11,2,1,0,False
2025-06-01 13:28:00,7,12,2,1,0,False
2025-06-01 13:36:00,6,12,2,1,0,False
2025-06-01 13:44:00,7,11,2,1,0,False
2025-06-01 13:52:00,7,11,2,1,0,False
2025-06-01 14:00:00,7,11,1,1,0,False
2025-06-01 14:08:00,6,11,1,1,0,False
2025-06-01 14:16:00,7,10,2,1,0,False
2025-06-01 14:24:00,7,11,2,1,0,False
2025-06-01 14:32:00,7,10,1,1,0,False
2025-06-01 14:40:00,7,10,1,1,0,False
2025-06-01 14:48:00,7,10,2,1,0,False
2025-06-01 14:56:00,8,10,1,1,0,False
2025-06-01 15:04:00,7,9,2,1,0,False
2025-06-01 15:12:00,8,9,2,1,0,False
2025-06-01 15:20:00,7,9,2,1,0,False
2025-06-01 15:28:00,7,10,1,1,0,False
2025-06-01 15:36:00,7,9,1,1,0,False
2025-06-01 15:44:00,7,9,2,1,0,False
2025-06-01 15:52:00,7,9,2,1,0,False
2025-06-01 16:00:00,7,9,1,1,0,False
2025-06-01 16:08:00,7,9,1,1,0,False
2025-06-01 16:16:00,7,9,1,1,0,False
2025-06-01 16:24:00,7,9,1,1,0,False
2025-06-01 16:32:00,8,9,1,1,0,False
2025-06-01 16:40:00,8,9,2,1,0,False
2025-06-01 16:48:00,7,8,1,1,0,False
2025-06-01 16:56:00,7,8,1,1,0,False
2025-06-01 17:04:00,7,9,1,1,0,False
2025-06-01 17:12:00,7,8,1,1,0,False
2025-06-01 17:20:00,7,9,1,1,0,False
2025-06-01 17:28:00,8,8,1,1,0,False
2025-06-01 17:36:00,7,8,1,1,0,False
2025-06-01 17:44:00,7,8,1,1,0,False
2025-06-01 17:52:00,7,9,1,1,0,False
2025-06-01 18:00:00,7,8,1,1,0,False
2025-06-01 18:08:00,7,8,1,1,0,False
2025-06-01 18:16:00,7,8,1,1,0,False
2025-06-01 18:24:00,7,8,1,1,0,False
2025-06-01 18:32:00,9,9,1,1,0,False
2025-06-01 18:40:00,9,8,1,1,0,False
2025-06-01 18:48:00,9,8,1,1,0,False
2025-06-01 18:56:00,8,8,1,1,0,False
2025-06-01 19:04:00,9,8,1,1,0,False
2025-06-01 19:12:00,8,9,1,1,0,False
2025-06-01 19:20:00,8,8,1,1,0,False
2025-06-01 19:28:00,7,8,1,1,0,False
2025-06-01 19:36:00,7,7,1,1,0,False
2025-06-01 19:44:00,7,8,1,1,0,False
2025-06-01 19:52:00,7,8,1,1,0,False
2025-06-01 20:00:00,8,8,1,1,0,False
2025-06-01 20:08:00,8,8,1,1,0,False
2025-06-01 20:16:00,7,8,1,1,0,False
2025-06-01 20:24:00,7,8,1,1,0,False
2025-06-01 20:32:00,7,8,1,1,0,False
2025-06-01 20:40:00,7,8,1,1,0,False
2025-06-01 20:48:00,8,8,1,1,0,False
2025-06-01 20:56:00,8,8,1,1,0,False
2025-06-01 21:04:00,7,8,1,1,0,False
2025-06-01 21:12:00,7,8,1,1,0,False
2025-06-01 21:20:00,7,9,1,1,0,False
2025-06-01 21:28:00,8,8,1,1,0,False
2025-06-01 21:36:00,8,8,1,1,0,False
2025-06-01 21:44:00,8,8,1,1,0,False
2025-06-01 21:52:00,7,8,1,1,0,False
2025-06-01 22:00:00,7,8,1,1,0,False
2025-06-01 22:08:00,7,8,1,1,0,False
2025-06-01 22:16:00,7,8,1,1,0,False
2025-06-01 22:24:00,7,8,1,1,0,False
2025-06-01 22:32:00,8,8,1,1,0,False
2025-06-01 22:40:00,7,8,1,1,0,False
2025-06-01 22:48:00,7,8,1,1,0,False
2025-06-01 22:56:00,8,9,1,1,0,False
2025-06-01 23:04:00,7,9,1,1,0,False
2025-06-01 23:12:00,8,9,1,1,0,False
2025-06-01 23:20:00,7,9,2,1,0,False
2025-06-01 23:28:00,8,8,1,1,0,False
2025-06-01 23:36:00,8,8,1,1,0,False
2025-06-01 23:44:00,8,9,1,1,0,False
2025-06-01 23:52:00,7,9,1,1,0,False
2025-06-02 00:00:00,8,9,1,1,0,False
2025-06-02 00:08:00,8,9,1,1,0,False
2025-06-02 00:16:00,7,9,1,1,0,False
2025-06-02 00:24:00,7,8,1,1,0,False
2025-06-02 00:32:00,7,8,1,1,0,False
2025-06-02 00:40:00,7,9,1,1,0,False
2025-06-02 00:48:00,16,8,1,1,0,False
2025-06-02 00:56:00,9,9,1,1,0,False
2025-06-02 01:04:00,8,8,1,1,0,False
2025-06-02 01:12:00,8,8,2,1,0,False
2025-06-02 01:20:00,8,8,2,1,0,False
2025-06-02 01:28:00,9,8,1,1,0,False
2025-06-02 01:36:00,8,8,2,1,0,False
2025-06-02 01:44:00,9,9,2,1,0,False
2025-06-02 01:52:00,9,8,1,1,0,False
2025-06-02 02:00:00,9,8,2,1,0,False
2025-06-02 02:08:00,9,8,1,1,0,False
2025-06-02 02:16:00,9,8,2,1,0,False
2025-06-02 02:24:00,9,8,1,1,0,False
2025-06-02 02:32:00,11,8,2,1,0,True
